,,,,,,,,
,,,,,,,,
,序号,类别,品名,英文名/包含内容,描述/规格,规格,价格 (¥),店长推荐
,1,季节限定,鸿运当头,Good Luck Ahead,迷人酒香樱桃美式、冰糖脆皮口感、复古年味,Ice / Hot,35,
,2,季节限定,好事花生,Happy Peanut Dirty,颗粒花生酱、极致浓郁、满电补给,Ice,42,是
,3,季节限定,大橘大利,Tiger Bomb,柑橘果香、清爽气泡、唤醒感,Ice,42,
,4,动径特调,荔枝气泡美式,Lychee Sparkling Americano,清甜荔枝、细腻气泡、双倍清爽,Ice,32,
,5,动径特调,黑芝麻维也纳,Black Sesame Vienna,复古弄堂味、浓郁芝麻香、手作奶盖,Ice,38,是
,6,动径特调,玄米小麦拿铁,Genmaicha & Wheat Latte,谷物香气、低负担、温润甘甜,Ice / Hot,38,是
,7,动径特调,趣多多脆脆拿铁,Chips Ahoy! Crunch Latte,巧克力脆片、童趣口感、浓郁丝滑,Ice / Hot,38,
,8,动径特调,烤焦糖海盐拿铁,Salted Caramel Latte,焦糖脆壳、海盐微咸、坚果余韵,Ice / Hot,38,
,9,动径特调,咸柚子得体,Salted Yuzu Dirty,盐渍柚子、清爽微咸、分层口感,Ice,42,是
,10,动径特调,近城之光精品手冲,Specialty Hand Drip,肯尼亚近城之光水洗，小番茄尾韵,Hot,46,
,11,能量组合,脆墩墩补给套餐,AFTERNOON SPECIAL,任意饮品 + 黑巧燕麦脆墩墩，单点18,,+15,是
,12,能量组合,流心巴斯克套餐,CYCLING FUEL,任意饮品 + 流心巴斯克蛋糕，单点35,,+30,
,13,能量组合,梧桐区双人探索套餐,Wutong Trails & Coffee Experience,2杯拿铁+2辆小布+1小时体验,,99,
,14,经典日常,美式,Americano,经典意式系列,Ice / Hot,25,
,15,经典日常,椰青美式,Coconut Water Americano,天然椰青水、清甜回甘、双倍补水,Ice,28,
,16,经典日常,汤力美式,Espresso Tonic,细腻气泡感、微苦汤力、骑行补给,Ice,28,
,17,经典日常,澳白,Flat White,经典意式系列,Hot,28,
,18,经典日常,拿铁,Latte,经典意式系列,Ice / Hot,30,
,19,经典日常,得体,The Dirty,经典意式系列,Ice,32,
,20,经典日常,冷萃,Cold Brew,每日限量供应,Ice,35,
,21,经典日常,升级项,燕麦奶 / 冰博克升级,选项升级,,3,
,22,经典日常,升级项,SOE 豆子升级,酒香/樱桃风味,,3,
,23,非咖啡类,巴黎水,Water,基础补给,Ice,25,
,24,非咖啡类,巧克力,Chocolate,醇厚可可、丝滑香醇、满分治愈,Ice / Hot,32,
,25,非咖啡类,抹茶拿铁,Matcha Latte,宇治抹茶、清鲜茶韵、温润甘甜,Ice / Hot,32,
,26,非咖啡类,红茶 / 绿茶,Black/Green Tea,精选茶饮,Hot,32,
,27,非咖啡类,肉桂红枣茶,Cinnamon Jujube Tea,温润红枣、浓郁肉桂、暖心滋补,Hot,35,
,28,非咖啡类,柠檬生姜茶,Zesty Lemon Ginger Tea,清新柠檬、辛香生姜、驱寒解腻,Hot,35,
,31,自行车租赁,小布租赁 (1H),Brompton Rental,1小时时长，超时每小时20,,25元/小时,
,32,自行车租赁,小布租赁 (4H),Brompton Rental,4小时时长，超时每小时20,,88元/4小时,
,33,自行车租赁,小布租赁 (24H),Brompton Rental,24小时时长，超时每小时20,,158元/24小时,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,补充核对要点与备注说明：,,,,,,,
,,,,,,,,
,货币与结算： 货币单位均为人民币 (¥=RMB)。,,,,,,,
,,,,,,,,
,租赁流程： 扫码进行实名核验 -> 缴纳押金或申请免押 -> 凭取车码出发。超时每小时20,,,,,,,
,,,,,,,,
,店铺常态优惠： - 🚲 骑行到店：立减 3 元,,,,,,,
,,,,,,,,
,☕ 自带杯使用：立减 3 元,,,,,,,
,,,,,,,,
,服务特色： 🐾 宠物友好。,,,,,,,
,,,,,,,,
,👍店长推荐,,,,,,,
,,,,,,,,
,定位参考： 动径 MovePath 为梧桐区街区探索站（URBAN EXPLORATION HUB OF COFFEE & CYCLING）。,,,,,,,
